step,complexity,noise,solved,failed,time,overload,crisis_mode,avg_crisis,I,C,Ccrit
25,1.0727975838924193,0.25472986301923706,1,0,1.1,0.0,0,0.0,1.0,1.716387655687487,0.2594022906643323
26,0.7115458282111922,0.14892387816133953,1,0,1.1,0.0,0,0.0,1.0,0.0,0.21814920133771315
27,0.9320241934466923,0.0928452458509986,1,0,1.1,0.0,0,0.0,1.0,0.009895824175704535,0.19860958252209124
28,0.7873563610745762,0.25436848438386095,1,0,1.1,0.0,0,0.0,1.0,0.02785540365648739,0.20105985244359198
29,1.026002304408136,0.08271853826732387,1,0,1.1,0.0,0,0.0,1.0,0.18912354611299323,0.2123100527992679
30,0.931643621837452,0.27178587603456394,1,0,1.1,0.0,0,0.0,1.0,0.6621369696713685,0.2457546209315459
31,1.2423353730687494,0.11825290695132754,1,0,1.1,0.0,0,0.0,1.0,2.0803825230053996,0.2614865737356362
32,0.9858776319119944,0.16790157257979285,1,0,1.1,0.0,0,0.0,1.0,0.3783686997460303,0.27108837560392607
33,0.8345763678020919,0.21992080106396386,1,0,1.1,0.0,0,0.0,1.0,0.047519062630646466,0.2755817286558682
34,0.9511397676094929,0.0915571624186465,1,0,1.1,0.0,0,0.0,1.0,0.02916844534124539,0.2793194177654621
35,1.18067005754388,0.07322673261920018,1,0,1.1,0.0,0,0.0,1.0,1.031417280881843,0.3241831269111598
36,0.8266244865887254,0.007614374188413861,1,0,1.1,0.0,0,0.0,1.0,0.0,0.28743519294839337
37,0.6698655582212377,0.16225708389890695,1,0,1.1,0.0,0,0.0,1.0,0.0,0.18657991659340367
38,1.0083639292150939,0.08329098166092316,1,0,1.1,0.0,0,0.0,1.0,0.1344099630030498,0.17665111292013275
39,0.9637332853389875,0.09580701100807146,1,0,1.1,0.0,0,0.0,1.0,0.0567207502255298,0.17794891862984807
40,1.4049279366316805,0.09422765513258011,1,0,1.1,0.0,0,0.0,1.0,3.986500876632465,0.37685687981726995
41,1.2719947707612322,0.2231837106771156,1,0,1.1,0.0,0,0.0,1.0,3.9232276556734096,0.5012855473400267
42,1.3161560476203449,0.23256116893908127,1,0,1.1,0.0,0,0.0,1.0,4.817449339979586,0.7304276791186617
43,1.1733566033614695,-0.0606504039810567,1,0,1.1,0.0,0,0.0,1.0,0.20324299806043788,0.7298660576073029
44,1.3706166850205883,0.10606933313259823,1,0,1.1,0.0,0,0.0,1.0,3.63567295844384,0.9156555734370891
45,1.2648060633971698,0.28690711386733214,1,0,1.1,0.0,0,0.0,1.0,4.87019887947667,1.1500962611292993
46,1.4012931155026864,-0.0742819379313343,1,0,1.1,0.0,0,0.0,1.0,1.7109809641056393,1.0277913737191227
47,1.0595638350843188,-0.06133498193446814,1,0,1.1,0.0,0,0.0,1.0,0.0,0.8372290790513633
48,1.3307929601017692,0.07975792561912742,1,0,1.1,0.0,0,0.0,1.0,2.696832476259403,0.7424867252261169
49,0.6584195260353475,-0.09991441234579589,1,0,1.1,0.0,0,0.0,1.0,0.0,0.7291671402434392
50,0.9983839953538352,0.27287133585320444,1,0,1.1,0.0,0,0.0,1.0,1.177271275331852,0.6158476480071142
51,0.6998393398976342,0.21750824212667855,1,0,1.1,0.0,0,0.0,1.0,0.0,0.3739653710725537
52,0.7987025668657671,0.14842986477809866,1,0,1.1,0.0,0,0.0,1.0,0.0,0.2953850859669145
53,1.1011130029549387,0.28254675647180216,1,0,1.1,0.0,0,0.0,1.0,2.355116976054154,0.41832196559653967
54,1.0510862786665323,0.1541633944429476,1,0,1.1,0.0,0,0.0,1.0,0.6740388529847741,0.30867419882340347
55,0.742856542789032,0.02537709374601041,1,0,1.1,0.0,0,0.0,1.0,0.0,0.31126259876172174
56,0.9998392637414497,0.20781112589300607,1,0,1.1,0.0,0,0.0,1.0,0.6898989490454602,0.2922696693576681
57,1.2199613371224718,0.0967955669455427,1,0,1.1,0.0,0,0.0,1.0,1.6053589803960533,0.3727318465614911
58,1.082283580023856,-0.04605416492878316,1,0,1.1,0.0,0,0.0,1.0,0.02100112829009745,0.3691465421438283
59,0.7837566024347403,0.13517380693917355,1,0,1.1,0.0,0,0.0,1.0,0.0,0.2564075977553816
60,1.224966476551308,0.2503975173608852,1,0,1.1,0.0,0,0.0,1.0,3.615534827330426,0.4072566626447653
61,0.9528328342319137,-0.06622671658462606,1,0,1.1,0.0,0,0.0,1.0,0.0,0.39122575224807876
62,1.0511329240804381,0.27402236501975696,1,0,1.1,0.0,0,0.0,1.0,1.691615392477302,0.4482989871107016
63,1.1200627749372027,0.26600645657190436,1,0,1.1,0.0,0,0.0,1.0,2.384791224288519,0.4838032137065819
64,0.8336025961087729,0.06481565949442178,1,0,1.1,0.0,0,0.0,1.0,0.0,0.47713320594630954
65,1.1347969955885544,0.1080123686996334,1,0,1.1,0.0,0,0.0,1.0,0.9433021981765429,0.5318018679008686
66,0.7680182667494097,-0.09434725058429093,1,0,1.1,0.0,0,0.0,1.0,0.0,0.3517694080575676
67,0.713680364441937,0.25510830305049814,1,0,1.1,0.0,0,0.0,1.0,0.0,0.3571863876300756
68,0.6808252237758032,0.03880713774643074,1,0,1.1,0.0,0,0.0,1.0,0.0,0.2765698251649752
69,0.8620416846925483,0.20781349523386713,1,0,1.1,0.0,0,0.0,1.0,0.07807593860082973,0.1640967254679404
70,0.9175517105352451,0.031104021319134423,1,0,1.1,0.0,0,0.0,1.0,0.0,0.1656963799009973
71,1.0474115822678478,-0.051450861997694775,1,0,1.1,0.0,0,0.0,1.0,0.0,0.12011726904735212
72,1.4835929423844134,0.22197544625620128,1,0,1.1231076228525252,0.023341033184368865,0,0.0,1.0,7.965228016782618,0.5195019079605487
73,0.9962570965003537,0.07344302720827775,1,0,1.1,0.0,0,0.0,1.0,0.0777297159199764,0.48537399855317914
74,1.1214952388551507,0.17139932129050098,1,0,1.1,0.0,0,0.0,1.0,1.3725955738066358,0.5641444217388479
75,0.9215364987793782,-0.021802426435856684,1,0,1.1,0.0,0,0.0,1.0,0.0,0.5619995671216707
76,1.361920589459423,0.11790657618926997,1,0,1.1,0.0,0,0.0,1.0,3.683745742311332,0.7540079462242429
77,1.3937523529122138,0.20188387823358991,1,0,1.1,0.0,0,0.0,1.0,5.676520317657236,1.026055845736177
78,1.0553066747339916,0.2511267603053744,1,0,1.1,0.0,0,0.0,1.0,1.5024232017604058,0.6879406800708817
79,0.7274838670148804,0.1119746214709387,1,0,1.1,0.0,0,0.0,1.0,0.0,0.6898342501743124
80,1.1212453702807412,0.10674106447284126,1,0,1.1,0.0,0,0.0,1.0,0.8316450309063924,0.6735331486121614
81,1.2239524743157109,-0.035843728002241546,1,0,1.1,0.0,0,0.0,1.0,0.5661584070340031,0.7062729008226131
82,1.156624835070991,0.055988574841043054,1,0,1.1,0.0,0,0.0,1.0,0.7232713931907618,0.5627716648828405
83,0.9052125656590353,0.06563471516384464,1,0,1.1,0.0,0,0.0,1.0,0.0,0.28145043705211725
84,0.6971952887617887,0.021963704190250552,1,0,1.1,0.0,0,0.0,1.0,0.0,0.2118793725031079
