sigma,seed,model,success,failure,avg_time
0.80,2042,metaslayer_real_I,1.000000,0.000000,1.188721
0.80,2042,metaslayer_soft,0.983333,0.016667,1.100649
0.80,2043,baseline,0.575000,0.425000,1.198360
0.80,2043,metaslayer_simple,0.925000,0.075000,1.196802
0.80,2043,metaslayer_real_I,1.000000,0.000000,1.198976
0.80,2043,metaslayer_soft,0.991667,0.008333,1.101829
0.80,2044,baseline,0.625000,0.375000,1.177382
0.80,2044,metaslayer_simple,0.925000,0.075000,1.159887
0.80,2044,metaslayer_real_I,0.991667,0.008333,1.189439
0.80,2044,metaslayer_soft,0.975000,0.025000,1.104800
0.80,2045,baseline,0.608333,0.391667,1.186532
0.80,2045,metaslayer_simple,0.941667,0.058333,1.184621
0.80,2045,metaslayer_real_I,1.000000,0.000000,1.197757
0.80,2045,metaslayer_soft,0.991667,0.008333,1.100928
