step,complexity,noise,solved,failed,time,overload,I,C,Ccrit,K,E,E_eff
0,0.9051596958573184,0.05385508471722325,1,0,1.00848,0.0,0.0424,0.0,0.08,0.0,0.28392,0.28392
1,1.2122505990846286,0.048684209205066165,1,0,1.18289530323565,0.17353631140323422,0.11552077119277082,1.0893915868348758,0.1889391586834876,0.21787831736697516,0.7237036723464232,0.6050576281986466
2,1.1375492990601352,-0.0012205627879991188,1,0,1.0650083666272017,0.03957179013365275,0.1419145461607442,0.29736838933692245,0.16820965039059083,0.2119885000242671,0.4676105731965182,0.39268948398060205
3,1.1136046083037914,0.2140150906346351,1,0,1.100779412024544,0.0,0.50389706012272,1.7173546741200842,0.23107635164111315,0.4918628848410038,1.2541917840402053,0.8693506134412476
4,0.8674646755670534,0.040024865092285894,1,0,1.0812897856604813,0.0,0.40644892830240703,0.0,0.19490810397862585,0.3443040193887027,0.5751591426419256,0.4390951424471712
5,0.9703639117040523,-0.05720809138523167,1,0,1.064221722016542,0.0,0.3211086100827096,0.0,0.17687244772501942,0.2410128135720919,0.5068868880661677,0.4165355283827332
6,1.0859574107944625,0.1563103090818617,1,0,1.127790120281163,0.0,0.6389506014058155,0.9390983695051688,0.210095855790979,0.3565286434014981,1.0898449104514616,0.8250926602847818
7,1.2348662000547015,0.23920943133767428,1,0,1.2,0.0,1.0,3.5959632684812752,0.2915041306994597,0.9687627040773037,2.308587143968446,1.2332944469514542
8,0.8869747524113729,0.18079500099349247,1,0,1.2,0.0,1.0,0.07348383162490014,0.2736558581617746,0.6928306591790926,1.0757193410687151,0.6625733335651356
9,0.7568707321542578,-0.09976729972835768,1,0,1.2,0.0,1.0,0.0,0.2208952189871536,0.4849814614253648,1.05,0.7309517547673474
10,0.8737388481280723,0.05630750314215255,1,0,1.2,0.0,1.0,0.0,0.22448350905974374,0.33948702299775535,1.05,0.804265936398281
11,1.1377642756515722,0.123724018604847,1,0,1.2,0.0,1.0,1.0940180485301065,0.26357585747573004,0.45644452580445005,1.4329063169855374,1.0156692958705442
12,0.6990961614285425,0.011667816100751058,1,0,1.2,0.0,1.0,0.0,0.23015487590023137,0.3195111680631151,1.05,0.8154959444222286
13,0.8358742496178296,0.13829649180993417,1,0,1.2,0.0,1.0,0.0,0.11277506257694334,0.22365781764418058,1.05,0.8740589037794093
14,0.7930530937068835,0.2256740581525106,1,0,1.2,0.0,1.0,0.005611299468236932,0.1123039136848595,0.1576827322445738,1.051963954813883,0.9212283341403519
15,0.7425423849589387,0.17153639319015898,1,0,1.2,0.0,1.0,0.0,0.113562007760825,0.11037791257120166,1.05,0.9551184202618719
16,1.1255091570153497,0.12672089559458413,1,0,1.2,0.0,1.0,1.0179199910337606,0.14840759968826986,0.2808485370065933,1.4062719968618163,1.1225357308816515
17,0.7064218758557498,-0.04688611663758271,1,0,1.2,0.0,1.0,0.0,0.10869339354176713,0.1965939759046153,1.05,0.8921481442953478
18,0.9060780532227639,0.0717236243866046,1,0,1.2,0.0,1.0,0.0,0.11028088944675478,0.13761578313323072,1.05,0.9342848881081133
19,1.1447569352497635,0.2452723410153743,1,0,1.2,0.0,1.0,2.4339653815025155,0.19254438034743604,0.5831241244937646,1.9018878835258803,1.2472935959915525
20,0.7453049250398225,0.026073918851565986,1,0,1.2,0.0,1.0,0.0,0.18421060155648233,0.4081868871456352,1.05,0.7678985083935532
