step,complexity,noise,solved,failed,time,overload,I,C,Ccrit,K,E,E_eff
0,0.9051596958573184,0.05385508471722325,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
1,1.2122505990846286,0.048684209205066165,0,1,1.2348413274607253,0.26093480828969473,0.0,1.0893915868348758,0.0,0.0,0.6312870553922065,0.6312870553922065
2,1.1375492990601352,-0.0012205627879991188,1,0,1.1226958626449226,0.13632873627213615,0.0,0.29736838933692245,0.0,0.0,0.35407893626792286,0.35407893626792286
3,1.1136046083037914,0.2140150906346351,0,1,1.294857729044584,0.3276196989384266,0.0,1.7173546741200842,0.0,0.0,0.8510741359420294,0.8510741359420294
4,0.8674646755670534,0.040024865092285894,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
5,0.9703639117040523,-0.05720809138523167,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
6,1.0859574107944625,0.1563103090818617,1,0,1.2180409478886918,0.24226771987632412,0.0,0.9390983695051688,0.0,0.0,0.5786844293268091,0.5786844293268091
7,1.2348662000547015,0.23920943133767428,0,1,1.426668068253138,0.47407563139237574,0.0,3.5959632684812752,0.0,0.0,1.5085871439684462,1.5085871439684462
8,0.8869747524113729,0.18079500099349247,1,0,1.0609927780643789,0.06776975340486535,0.0,0.07348383162490014,0.0,0.0,0.27571934106871504,0.27571934106871504
9,0.7568707321542578,-0.09976729972835768,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
10,0.8737388481280723,0.05630750314215255,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
11,1.1377642756515722,0.123724018604847,0,1,1.2353394648307772,0.2614882942564192,0.0,1.0940180485301065,0.0,0.0,0.6329063169855373,0.6329063169855373
12,0.6990961614285425,0.011667816100751058,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
13,0.8358742496178296,0.13829649180993417,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
